Alces alces
Micropterus salmoides
Tautogolabrus adspersus
Morone americana
Perca flavescens
Limanda ferruginea
Coregonus clupeaformis
Oncorhynchus mykiss
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Salvelinus namaycush
Ameiurus nebulosus
Dryopteris cristata x intermedia
Drypoteris cristata x marginalis
Glyceria x laxa
Hypericum x dissimulatum
Panicum acuminatum ssp. fasciculatum
Panicum acuminatum ssp. implicatum
Panicum acuminatum ssp. lindheimeri
Panicum acuminatum ssp. spretum
Photinia X floribunda
Polypodium x triploidea
Rubus allegheniensis x setosus
Rubus recurvicaulis X setosus
Salix humilis X discolor
Schoenoplectus acutus x tabernaemontanii
Acorus americanus
Alisma triviale
Sagittaria graminea
Sagittaria latifolia
Arisaema triphyllum
Calla palustris
Lemna trisulca
Symplocarpus foetidus
Najas flexilis
Najas gracillima
Vallisneria americana
Triglochin maritimum
Triglochin palustre
Potamogeton amplifolius
Potamogeton bicupulatus
Potamogeton confervoides
Potamogeton epihydrus
Potamogeton gramineus
Potamogeton natans
Potamogeton oakesianus
Potamogeton perfoliatus
Potamogeton pusillus var. gemmiparus
Potamogeton pusillus var. tenuissimus
Potamogeton spirillus
Potamogeton zosteriformis
Stuckenia pectinatus
Zannichellia palustris
Ruppia maritima
Scheuchzeria palustris ssp. americana
Zostera marina var. stenophylla
Aegopodium podagraria
Angelica atropurpurea
Angelica lucida
Carum carvi
Cicuta bulbifera
Cicuta maculata
Conioselinum chinense
Daucus carota
Heracleum mantegazzianum
Heracleum maximum
Ligusticum scothicum
Osmorhiza longistylis
Pastinaca sativa
Pimpinella saxifraga
Sanicula marilandica
Sium suave
Zizia aurea
Aralia hispida
Aralia nudicaulis
Aralia racemosa
Aralia spinosa
Hydrocotyle americana
Ilex glabra
Ilex verticillata
Nemopanthus mucronatus
Allium schoenoprasum var. sibiricum
Asparagus officinalis
Maianthemum canadense
Maianthemum racemosum
Maianthemum stellatum
Maianthemum trifolium
Polygonatum pubescens
Iris pseudacorus
Iris setosa var. canadensis
Iris versicolor
Sisyrinchium angustifolium
Sisyrinchium atlanticum
Sisyrinchium montanum var. crebrum
Sisyrinchium mucronatum
Arethusa bulbosa
Calopogon tuberosus
Coeloglossum viride var. virescens
Corallorrhiza maculata
Corallorrhiza trifida
Cypripedium acaule
Cypripedium parviflorum
Cypripedium pubescens
Cypripedium reginae
Epipactis helleborine
Goodyera pubescens
Goodyera repens
Goodyera tesselata
Liparis loeselii
Listera auriculata
Listera convallarioides
Listera cordata
Malaxis unifolia
Platanthera clavellata
Platanthera dilatata
Platanthera grandiflora
Platanthera hookeri
Platanthera hyperborea
Platanthera lacera
Platanthera obtusata
Platanthera orbiculata var. macrophylla
Platanthera orbiculata var. orbiculata
Platanthera psycodes
Pogonia ophioglossoides
Spiranthes cernua
Spiranthes lacera var. gracilis
Spiranthes ochroleuca
Spiranthes romanzoffiana
Hemerocallis fulva
Achillea millefolium var. millefolium
Achillea millefolium var. occidentalis
Achillea ptarmica
Ambrosia artemisiifolia
Ambrosia artemisiifolia var. elatior
Ambrosia trifida
Anaphalis margaritacea
Antennaria howellii ssp. canadensis
Antennaria howellii ssp. neodioica
Antennaria howellii ssp. petaloidea
Antennaria neglecta
Antennaria parlinii ssp. fallax
Antennaria parlinii ssp. parlinii
Antennaria plantaginifolia
Anthemis cotula
Anthemis tinctoria
Arctium lappa
Arctium minus
Arctium vulgare
Arnoseris minima
Artemisia stelleriana
Artemisia vulgaris
Aster macrophyllus
Aster radula
Bidens cernua
Bidens connata
Bidens frondosa
Bidens vulgata
Centaurea cyanus
Centaurea jacea
Centaurea nigra
Chrysanthemum balsamita
Cichorium intybus
Cirsium arvense
Cirsium discolor
Cirsium muticum
Cirsium vulgare
Conyza canadensis
Doellingeria umbellata
Echinops sphaerocephalus
Erechtites hieraciifolia
Erigeron annuus
Erigeron strigosus
Eupatorium maculatum
Eupatorium perfoliatum var. perfoliatum
Euthamia graminifolia
Euthamia graminifolia var. nuttallii
Galinsoga quadriradiata
Gnaphalium uliginosum
Helianthus annuus
Helianthus tuberosus
Helianthus X laetiflorus
Heliopsis helianthoides var. scabra
Hieracium aurantiacum
Hieracium caespitosum
Hieracium canadense
Hieracium kalmii
Hieracium lachenalii
Hieracium murorum
Hieracium paniculatum
Hieracium pilosella
Hieracium piloselloides
Hieracium scabrum
Hieracium scabrum var. tonsum
Hieracium X floribundum
Lactuca biennis
Lactuca canadensis
Lactuca canadensis var. latifolia
Lactuca canadensis var. longifolia
Lactuca sativa
Lapsana communis
Leontodon autumnalis
Leontodon autumnalis var. pratensis
Leucanthemum vulgare
Matricaria discoidea
Matricaria maritima
Matricaria perforata
Matricaria recutita
Mycelis muralis
Oclemena acuminata
Oclemena nemoralis
Oclemena X blakei
Petasites frigidus var. palmatus
Prenanthes alba
Prenanthes altissima
Prenanthes nana
Prenanthes trifoliolata
Pseudognaphalium helleri ssp. micradenium
Pseudognaphalium obtusifolium
Rudbeckia hirta var. hirta
Rudbeckia hirta var. pulcherrima
Senecio aureus
Senecio jacobaea
Senecio schweinitzianus
Senecio sylvaticus
Senecio vulgaris
Solidago bicolor
Solidago canadensis
Solidago flexicaulis
Solidago gigantea
Solidago hispida
Solidago juncea
Solidago nemoralis
Solidago puberula
Solidago rugosa
Solidago rugosa var. villosa
Solidago sempervirens
Solidago simplex ssp. randii
Solidago squarrosa
Solidago uliginosa
Sonchus arvensis
Sonchus asper
Sonchus oleraceus
Symphyotrichum ciliolatum
Symphyotrichum cordifolium
Symphyotrichum ericoides
Symphyotrichum lanceolatum
Symphyotrichum lateriflorum
Symphyotrichum lateriflorum var. hirsuticaule
Symphyotrichum novae-angliae
Symphyotrichum novi-belgii var. novi-belgii
Symphyotrichum novi-belgii var. villicaule
Symphyotrichum pilosum
Symphyotrichum praealtum var. angustior
Symphyotrichum puniceum
Symphyotrichum racemosum
Symphyotrichum tradescantii
Symphyotrichum undulatum
Tanacetum vulgare
Taraxacum laevigatum
Taraxacum officinale ssp. officinale
Tragopogon porrifolius
Tragopogon pratensis
Tussilago farfara
Campanula aparinoides
Campanula rapunculoides
Campanula rotundifolia
Lobelia cardinalis
Lobelia dortmanna
Lobelia inflata
Lobelia spicata
Triodanis perfoliata
Menyanthes trifoliata
Nymphoides cordata
Anchusa arvensis
Anchusa officinalis
Borago officinalis
